units,date,heartRateData
bpm,2021-12-03 11:16:38 +0000,60
bpm,2021-12-03 11:16:47 +0000,51
bpm,2021-12-03 11:16:52 +0000,54
bpm,2021-12-03 11:16:56 +0000,55
bpm,2021-12-03 11:17:01 +0000,56
bpm,2021-12-03 11:17:03 +0000,56
bpm,2021-12-03 11:17:12 +0000,67
bpm,2021-12-03 11:17:15 +0000,68
bpm,2021-12-03 11:17:22 +0000,66
bpm,2021-12-03 11:17:23 +0000,67
bpm,2021-12-03 11:17:30 +0000,70
bpm,2021-12-03 11:17:37 +0000,65
bpm,2021-12-03 11:17:38 +0000,65
bpm,2021-12-03 11:17:44 +0000,68
bpm,2021-12-03 11:17:51 +0000,60
bpm,2021-12-03 11:17:56 +0000,67
bpm,2021-12-03 11:18:01 +0000,63
bpm,2021-12-03 11:18:07 +0000,73
bpm,2021-12-03 11:18:11 +0000,77
bpm,2021-12-03 11:18:14 +0000,73
bpm,2021-12-03 11:18:22 +0000,75
bpm,2021-12-03 11:18:24 +0000,77
bpm,2021-12-03 11:18:32 +0000,92
bpm,2021-12-03 11:18:36 +0000,94
bpm,2021-12-03 11:18:39 +0000,93
bpm,2021-12-03 11:18:47 +0000,75
bpm,2021-12-03 11:18:52 +0000,82
bpm,2021-12-03 11:18:57 +0000,83
bpm,2021-12-03 11:19:02 +0000,85
bpm,2021-12-03 11:19:04 +0000,86
bpm,2021-12-03 11:19:08 +0000,80
bpm,2021-12-03 11:19:17 +0000,72
bpm,2021-12-03 11:19:22 +0000,72
bpm,2021-12-03 11:19:24 +0000,71
bpm,2021-12-03 11:19:31 +0000,71
bpm,2021-12-03 11:19:35 +0000,71
bpm,2021-12-03 11:19:38 +0000,71
bpm,2021-12-03 11:19:43 +0000,73
bpm,2021-12-03 11:19:51 +0000,73
bpm,2021-12-03 11:19:56 +0000,71
bpm,2021-12-03 11:20:00 +0000,73
