,value__bpm,value__confidence,year,month,day,hour,minute,second,dateTime
763,67.55781555175781,2.6002562046051025,2021,11,19,1,3,35,2021-11-19 01:03:35
769,66.28654479980469,2.8217625617980957,2021,11,19,1,4,5,2021-11-19 01:04:05
770,65.82836151123047,2.743678569793701,2021,11,19,1,4,10,2021-11-19 01:04:10
778,66.739013671875,3.0046896934509277,2021,11,19,1,4,50,2021-11-19 01:04:50
780,66.4123306274414,3.059206008911133,2021,11,19,1,5,0,2021-11-19 01:05:00
781,67.07125091552734,3.0853428840637207,2021,11,19,1,5,5,2021-11-19 01:05:05
783,67.1929931640625,2.8643808364868164,2021,11,19,1,5,15,2021-11-19 01:05:15
785,67.56159210205078,2.968987464904785,2021,11,19,1,5,25,2021-11-19 01:05:25
787,66.95905303955078,2.8924777507781982,2021,11,19,1,5,35,2021-11-19 01:05:35
788,66.9494400024414,2.8665807247161865,2021,11,19,1,5,40,2021-11-19 01:05:40
791,67.03123474121094,2.9312658309936523,2021,11,19,1,5,55,2021-11-19 01:05:55
793,67.046630859375,3.021242618560791,2021,11,19,1,6,5,2021-11-19 01:06:05
795,67.43204498291016,2.9420230388641357,2021,11,19,1,6,15,2021-11-19 01:06:15
796,67.57677459716797,2.9450652599334717,2021,11,19,1,6,20,2021-11-19 01:06:20
800,65.87613677978516,3.0630195140838623,2021,11,19,1,6,40,2021-11-19 01:06:40
801,65.6689682006836,3.099781036376953,2021,11,19,1,6,45,2021-11-19 01:06:45
803,64.92253112792969,2.990933895111084,2021,11,19,1,6,55,2021-11-19 01:06:55
807,66.52214050292969,2.986841917037964,2021,11,19,1,7,15,2021-11-19 01:07:15
808,66.63655090332031,2.887816905975342,2021,11,19,1,7,20,2021-11-19 01:07:20
810,66.19891357421875,2.89804744720459,2021,11,19,1,7,30,2021-11-19 01:07:30
811,65.83477020263672,2.9010210037231445,2021,11,19,1,7,35,2021-11-19 01:07:35
814,65.48528289794922,3.0473453998565674,2021,11,19,1,7,50,2021-11-19 01:07:50
