,value__bpm,value__confidence
2021-12-03 00:59:40,,
2021-12-03 00:59:45,,
2021-12-03 00:59:50,,
2021-12-03 00:59:55,,
2021-12-03 01:00:00,,
2021-12-03 01:00:05,,
2021-12-03 01:00:10,,
2021-12-03 01:00:15,,
2021-12-03 01:00:20,,
2021-12-03 01:00:25,,
2021-12-03 01:00:30,,
2021-12-03 01:00:35,,
2021-12-03 01:00:40,,
2021-12-03 01:00:45,,
2021-12-03 01:00:50,,
2021-12-03 01:00:55,,
2021-12-03 01:01:00,,
2021-12-03 01:01:05,,
2021-12-03 01:01:10,,
2021-12-03 01:01:15,,
2021-12-03 01:01:20,,
2021-12-03 01:01:25,,
2021-12-03 01:01:30,,
2021-12-03 01:01:35,,
2021-12-03 01:01:40,,
2021-12-03 01:01:45,,
2021-12-03 01:01:50,,
2021-12-03 01:01:55,,
2021-12-03 01:02:00,,
2021-12-03 01:02:05,,
2021-12-03 01:02:10,,
2021-12-03 01:02:15,,
2021-12-03 01:02:20,,
2021-12-03 01:02:25,,
2021-12-03 01:02:30,,
2021-12-03 01:02:35,,
2021-12-03 01:02:40,,
2021-12-03 01:02:45,,
2021-12-03 01:02:50,,
2021-12-03 01:02:55,,
2021-12-03 01:03:00,,
2021-12-03 01:03:05,,
2021-12-03 01:03:10,,
2021-12-03 01:03:15,,
2021-12-03 01:03:20,,
2021-12-03 01:03:25,,
2021-12-03 01:03:30,,
2021-12-03 01:03:35,,
2021-12-03 01:03:40,,
2021-12-03 01:03:45,,
2021-12-03 01:03:50,,
2021-12-03 01:03:55,,
2021-12-03 01:04:00,,
2021-12-03 01:04:05,,
2021-12-03 01:04:10,,
2021-12-03 01:04:15,,
2021-12-03 01:04:20,,
2021-12-03 01:04:25,,
2021-12-03 01:04:30,,
2021-12-03 01:04:35,,
2021-12-03 01:04:40,,
2021-12-03 01:04:45,,
2021-12-03 01:04:50,,
2021-12-03 01:04:55,,
2021-12-03 01:05:00,,
2021-12-03 01:05:05,,
2021-12-03 01:05:10,,
2021-12-03 01:05:15,,
2021-12-03 01:05:20,,
2021-12-03 01:05:25,,
2021-12-03 01:05:30,,
2021-12-03 01:05:35,,
2021-12-03 01:05:40,,
2021-12-03 01:05:45,,
2021-12-03 01:05:50,,
2021-12-03 01:05:55,,
2021-12-03 01:06:00,,
2021-12-03 01:06:05,,
2021-12-03 01:06:10,,
2021-12-03 01:06:15,,
2021-12-03 01:06:20,,
2021-12-03 01:06:25,,
2021-12-03 01:06:30,,
2021-12-03 01:06:35,,
2021-12-03 01:06:40,,
2021-12-03 01:06:45,,
2021-12-03 01:06:50,,
2021-12-03 01:06:55,,
2021-12-03 01:07:00,,
2021-12-03 01:07:05,,
2021-12-03 01:07:10,,
2021-12-03 01:07:15,,
2021-12-03 01:07:20,,
2021-12-03 01:07:25,,
2021-12-03 01:07:30,,
2021-12-03 01:07:35,,
2021-12-03 01:07:40,,
2021-12-03 01:07:45,,
2021-12-03 01:07:50,,
2021-12-03 01:07:55,,
2021-12-03 01:08:00,,
2021-12-03 01:08:05,,
2021-12-03 01:08:10,,
2021-12-03 01:08:15,,
2021-12-03 01:08:20,,
2021-12-03 01:08:25,,
2021-12-03 01:08:30,,
2021-12-03 01:08:35,,
2021-12-03 01:08:40,,
2021-12-03 01:08:45,,
2021-12-03 01:08:50,,
2021-12-03 01:08:55,,
2021-12-03 01:09:00,,
2021-12-03 01:09:05,,
2021-12-03 01:09:10,,
2021-12-03 01:09:15,,
2021-12-03 01:09:20,,
2021-12-03 01:09:25,,
2021-12-03 01:09:30,,
2021-12-03 01:09:35,,
2021-12-03 01:09:40,,
2021-12-03 01:09:45,,
2021-12-03 01:09:50,,
2021-12-03 01:09:55,,
2021-12-03 01:10:00,,
2021-12-03 01:10:05,,
2021-12-03 01:10:10,,
2021-12-03 01:10:15,,
2021-12-03 01:10:20,,
2021-12-03 01:10:25,,
2021-12-03 01:10:30,,
2021-12-03 01:10:35,,
2021-12-03 01:10:40,,
2021-12-03 01:10:45,,
2021-12-03 01:10:50,,
2021-12-03 01:10:55,,
2021-12-03 01:11:00,,
2021-12-03 01:11:05,,
2021-12-03 01:11:10,,
2021-12-03 01:11:15,,
2021-12-03 01:11:20,,
2021-12-03 01:11:25,,
2021-12-03 01:11:30,,
2021-12-03 01:11:35,,
2021-12-03 01:11:40,,
2021-12-03 01:11:45,,
2021-12-03 01:11:50,,
2021-12-03 01:11:55,,
2021-12-03 01:12:00,,
2021-12-03 01:12:05,,
2021-12-03 01:12:10,,
2021-12-03 01:12:15,,
2021-12-03 01:12:20,,
2021-12-03 01:12:25,,
2021-12-03 01:12:30,,
2021-12-03 01:12:35,,
2021-12-03 01:12:40,,
2021-12-03 01:12:45,,
2021-12-03 01:12:50,,
2021-12-03 01:12:55,,
2021-12-03 01:13:00,,
2021-12-03 01:13:05,,
2021-12-03 01:13:10,,
2021-12-03 01:13:15,,
2021-12-03 01:13:20,,
2021-12-03 01:13:25,,
2021-12-03 01:13:30,,
2021-12-03 01:13:35,,
2021-12-03 01:13:40,,
2021-12-03 01:13:45,,
2021-12-03 01:13:50,,
2021-12-03 01:13:55,,
2021-12-03 01:14:00,,
2021-12-03 01:14:05,,
2021-12-03 01:14:10,,
2021-12-03 01:14:15,,
2021-12-03 01:14:20,,
2021-12-03 01:14:25,,
2021-12-03 01:14:30,,
2021-12-03 01:14:35,,
2021-12-03 01:14:40,,
2021-12-03 01:14:45,,
2021-12-03 01:14:50,,
2021-12-03 01:14:55,,
2021-12-03 01:15:00,,
2021-12-03 01:15:05,,
2021-12-03 01:15:10,,
2021-12-03 01:15:15,,
2021-12-03 01:15:20,,
2021-12-03 01:15:25,,
2021-12-03 01:15:30,,
2021-12-03 01:15:35,,
2021-12-03 01:15:40,,
2021-12-03 01:15:45,,
2021-12-03 01:15:50,,
2021-12-03 01:15:55,,
2021-12-03 01:16:00,,
2021-12-03 01:16:05,,
2021-12-03 01:16:10,,
2021-12-03 01:16:15,,
2021-12-03 01:16:20,,
2021-12-03 01:16:25,,
2021-12-03 01:16:30,,
2021-12-03 01:16:35,,
2021-12-03 01:16:40,,
2021-12-03 01:16:45,,
2021-12-03 01:16:50,,
2021-12-03 01:16:55,,
2021-12-03 01:17:00,,
2021-12-03 01:17:05,,
2021-12-03 01:17:10,,
2021-12-03 01:17:15,,
